(14.18532657623291, 310.4071044921875)	,6.816444396972656,183.53189086914062,0.0383908674120903,12911360,-1
(14.196394920349121, 149.5184783935547)	,6.399898529052734,97.5704345703125,0.03727276250720024,8323840,-1
(14.231826782226562, 535.1505737304688)	,9.602356910705566,329.712158203125,0.030972976237535477,4260353,-1
(14.30594539642334, 282.6751403808594)	,4.0306267738342285,258.17596435546875,0.03736690804362297,8323328,-1
(14.325516700744629, 139.3331298828125)	,6.537289619445801,98.65603637695312,0.025468142703175545,9896704,-1
(14.325516700744629, 139.3331298828125)	,6.537289619445801,248.37747192382812,0.025468142703175545,9896704,-1
(14.52396011352539, 77.55025482177734)	,4.6162567138671875,37.81060791015625,0.024058550596237183,1442304,-1
(14.52396011352539, 77.55025482177734)	,4.6162567138671875,325.4635925292969,0.024058550596237183,1442304,-1
(14.592004776000977, 260.28753662109375)	,3.8489151000976562,93.15444946289062,0.036256298422813416,4980992,-1
(14.823311805725098, 177.40924072265625)	,12.97528076171875,62.559783935546875,0.027173805981874466,9372417,-1
(15.143199920654297, 358.51776123046875)	,12.436841011047363,45.27337646484375,0.03723360598087311,6292225,-1
(16.66891098022461, 203.71315002441406)	,5.983466625213623,326.3077697753906,0.035269152373075485,3474176,-1
(16.739627838134766, 59.623374938964844)	,5.255504131317139,3.349334716796875,0.03463307395577431,10813952,-1
(17.035573959350586, 86.30094146728516)	,5.106386661529541,329.52020263671875,0.03793803229928017,8716800,-1
(17.12372589111328, 188.12648010253906)	,5.812902450561523,39.849090576171875,0.03353319317102432,1377024,-1
(17.592754364013672, 317.439453125)	,9.417506217956543,327.09735107421875,0.034882087260484695,2884097,-1
(17.78996467590332, 69.25048828125)	,4.968193054199219,40.01275634765625,0.026026124134659767,6750720,-1
(18.079328536987305, 235.1632080078125)	,12.582284927368164,51.802093505859375,0.09148299694061279,7144193,-1
(18.079328536987305, 235.1632080078125)	,12.582284927368164,128.56634521484375,0.09148299694061279,7144193,-1
(18.079328536987305, 235.1632080078125)	,12.582284927368164,245.54702758789062,0.09148299694061279,7144193,-1
(18.079328536987305, 235.1632080078125)	,12.582284927368164,309.5335388183594,0.09148299694061279,7144193,-1
(19.221660614013672, 101.844482421875)	,7.420025825500488,93.05938720703125,0.026461604982614517,2359553,-1
(19.836027145385742, 21.383075714111328)	,5.893412113189697,139.8583984375,0.024995854124426842,2360064,-1
(20.46525001525879, 155.2281036376953)	,5.387173175811768,194.09884643554688,0.027184082195162773,12583424,-1
(20.64069175720215, 114.18485260009766)	,8.384061813354492,172.82723999023438,0.05960521474480629,11206913,-1
(20.64069175720215, 114.18485260009766)	,8.384061813354492,344.48565673828125,0.05960521474480629,11206913,-1
(21.05909538269043, 50.21467971801758)	,5.961357116699219,324.76007080078125,0.03996666148304939,3212032,-1
(21.404504776000977, 340.63824462890625)	,24.3101749420166,68.2413330078125,0.029418732970952988,4588290,-1
(21.8118839263916, 105.88636016845703)	,3.090198278427124,82.94232177734375,0.018097231164574623,5833727,-1
(21.8308048248291, 4.841760158538818)	,5.226073741912842,326.9039611816406,0.017047369852662086,10420736,-1
(21.939350128173828, 129.8604736328125)	,3.079573392868042,266.46484375,0.019917279481887817,5571583,-1
(22.001785278320312, 246.3831024169922)	,4.132041931152344,241.37432861328125,0.039913732558488846,10158336,-1
(22.093292236328125, 375.1521301269531)	,13.861279487609863,41.388092041015625,0.062098681926727295,14091009,-1
(22.093292236328125, 375.1521301269531)	,13.861279487609863,339.592041015625,0.062098681926727295,14091009,-1
(22.300661087036133, 223.9547119140625)	,3.8331055641174316,120.10835266113281,0.03812769427895546,4718848,-1
(22.675031661987305, 34.126129150390625)	,4.123866081237793,24.14605712890625,0.033029086887836456,9961728,-1
